trait,commercialName,n,BLUP,Media,BLUPs,Período
LDSR_PUCCSO,CALAMAR,95,-0.388243520896891,2.33333333333333,1.94508981243644,2021/23
LDSR_PUCCSO,DK4050,165,0.558100061289285,2.33333333333333,2.89143339462262,2021/23
LDSR_PUCCSO,HIPOPOTAMO,164,0.194121760448448,2.33333333333333,2.52745509378178,2021/23
LDSR_PUCCSO,MX8432,22,-0.024265220056054,2.33333333333333,2.30906811327728,2021/23
LDSR_PUCCSO,MX8436,22,0.339713080784783,2.33333333333333,2.67304641411811,2021/23
LDSR_PUCCSO,MX8438,22,-0.024265220056054,2.33333333333333,2.30906811327728,2021/23
LDSR_PUCCSO,MX8639,88,-0.0970608802242213,2.33333333333333,2.23627245310911,2021/23
LDSR_PUCCSO,MY8509,22,0.194121760448448,2.33333333333333,2.52745509378178,2021/23
LDSR_PUCCSO,P3270W,164,0.121326100280281,2.33333333333333,2.45465943361361,2021/23
LDSR_PUCCSO,P3274W,94,-0.0970608802242213,2.33333333333333,2.23627245310911,2021/23
LDSR_PUCCSO,VX8614,22,-0.169856540392389,2.33333333333333,2.16347679294094,2021/23
LDSR_PUCCSO,VY8503,20,-0.606630501401394,2.33333333333333,1.72670283193194,2021/23
LDSR_SETOTU,CALAMAR,78,,,,2021/23
LDSR_SETOTU,DK4050,131,,,,2021/23
LDSR_SETOTU,HIPOPOTAMO,130,,,,2021/23
LDSR_SETOTU,MX8432,6,,,,2021/23
LDSR_SETOTU,MX8436,6,,,,2021/23
LDSR_SETOTU,MX8438,6,,,,2021/23
LDSR_SETOTU,MX8639,71,,,,2021/23
LDSR_SETOTU,MY8509,6,,,,2021/23
LDSR_SETOTU,P3270W,130,,,,2021/23
LDSR_SETOTU,P3274W,78,,,,2021/23
LDSR_SETOTU,VX8614,6,,,,2021/23
LDSR_SETOTU,VY8503,5,,,,2021/23
SDP_FUSASP,CALAMAR,99,-9.32062076166628,19.3076923076923,9.98707154602606,2021/23
SDP_FUSASP,DK4050,146,2.62889303534174,19.3076923076923,21.9365853430341,2021/23
SDP_FUSASP,HIPOPOTAMO,145,1.73267950056614,19.3076923076923,21.0403718082585,2021/23
SDP_FUSASP,MX8432,33,6.27349474342918,19.3076923076923,25.5811870511215,2021/23
SDP_FUSASP,MX8436,33,6.93071800226463,19.3076923076923,26.238410309957,2021/23
SDP_FUSASP,MX8438,33,5.5565239156087,19.3076923076923,24.864216223301,2021/23
SDP_FUSASP,MX8639,92,-2.27040762143155,19.3076923076923,17.0372846862608,2021/23
SDP_FUSASP,MY8509,33,-1.85217463853627,19.3076923076923,17.4555176691561,2021/23
SDP_FUSASP,P3270W,146,1.6729319315811,19.3076923076923,20.9806242392734,2021/23
SDP_FUSASP,P3274W,98,2.2704076214315,19.3076923076923,21.5780999291238,2021/23
SDP_FUSASP,VX8614,32,-6.57223258835444,19.3076923076923,12.7354597193379,2021/23
SDP_FUSASP,VY8503,33,-7.05021314023476,19.3076923076923,12.2574791674576,2021/23
SDP_ZZXXFF,CALAMAR,56,,,,2021/23
SDP_ZZXXFF,DK4050,89,,,,2021/23
SDP_ZZXXFF,HIPOPOTAMO,89,,,,2021/23
SDP_ZZXXFF,MX8432,3,,,,2021/23
SDP_ZZXXFF,MX8436,3,,,,2021/23
SDP_ZZXXFF,MX8438,3,,,,2021/23
SDP_ZZXXFF,MX8639,50,,,,2021/23
SDP_ZZXXFF,MY8509,3,,,,2021/23
SDP_ZZXXFF,P3270W,89,,,,2021/23
SDP_ZZXXFF,P3274W,63,,,,2021/23
SDP_ZZXXFF,VX8614,3,,,,2021/23
SDP_ZZXXFF,VY8503,2,,,,2021/23
